FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	O3	SO2	CO	NO	NO2	PM10	NOx
		m/s	grados	�C	% H.R.	mb	W/m�	l/m�	�g/m�	�g/m�	�g/m�	mg/m�	�g/m�	�g/m�	�g/m�	�g/m�
01/01/2018	00			14	54					92						
01/01/2018	01			13,1	53					90						
01/01/2018	02			12,5	54					86						
01/01/2018	03			12,1	48					90						
01/01/2018	04			11,4	48					91						
01/01/2018	05			9,5	55					82						
01/01/2018	06			8,3	58					78						
01/01/2018	07			8,6	56					82						
01/01/2018	08			7,8	58					76						
01/01/2018	09			9,9	52					74						
01/01/2018	10			13,3	40					81						
01/01/2018	11			16	33					85						
01/01/2018	12			17,6	32					85						
01/01/2018	13			18,7	31					86						
01/01/2018	14			19,5	22					89						
01/01/2018	15			18,3	26					91						
01/01/2018	16			17,6	28					90						
01/01/2018	17			16,7	25					90						
01/01/2018	18			15,6	25					90						
01/01/2018	19			15	30					89						
01/01/2018	20			13,7	38					80						
01/01/2018	21			13,2	43					75						
01/01/2018	22			13,5	46					77						
01/01/2018	23			13,2	50					76						
02/01/2018	00			12,8	56					77						
02/01/2018	01			12,5	60					76						
02/01/2018	02			12,4	64					76						
02/01/2018	03			11,9	66					70						
02/01/2018	04			11,9	67					71						
02/01/2018	05			11,9	67					70						
02/01/2018	06			11,7	68					65						
02/01/2018	07			10,9	70					61						
02/01/2018	08			10,2	71					53						
02/01/2018	09			11,3	67					49						
02/01/2018	10			14,4	55					69						
02/01/2018	11			15,9	50					71						
02/01/2018	12			16,8	46					76						
02/01/2018	13			17,9	43					76						
02/01/2018	14			18,8	41					78						
02/01/2018	15			19,6	39					80						
02/01/2018	16			18,9	43					83						
02/01/2018	17			17,6	48					81						
02/01/2018	18			16,3	53					62						
02/01/2018	19			15	57					56						
02/01/2018	20			14,2	60					57						
02/01/2018	21			13,3	64					55						
02/01/2018	22			12,8	66					56						
02/01/2018	23			12,7	66					56						
03/01/2018	00			12,9	64					60						
03/01/2018	01			12,3	69					57						
03/01/2018	02			12,3	71					55						
03/01/2018	03			12,7	72					56						
03/01/2018	04			11,8	77					52						
03/01/2018	05			11,5	78					46						
03/01/2018	06			11,2	79					33						
03/01/2018	07			10,9	81					25						
03/01/2018	08			10,4	83					15						
03/01/2018	09			12,9	75					33						
03/01/2018	10			16,8	62					50						
03/01/2018	11			19,6	53					52						
03/01/2018	12			20,3	50					58						
03/01/2018	13			20,4	50					61						
03/01/2018	14			20,5	50					58						
03/01/2018	15			20,8	50					61						
03/01/2018	16			20,1	52					46						
03/01/2018	17			18,5	57					45						
03/01/2018	18			16,3	64					36						
03/01/2018	19			15,6	67					41						
03/01/2018	20			14,4	72					31						
03/01/2018	21			14,5	73					40						
03/01/2018	22			13,4	76					36						
03/01/2018	23			14	75					45						
04/01/2018	00			14,1	75					45						
04/01/2018	01			14,3	74					45						
04/01/2018	02			13	78					42						
04/01/2018	03			12,7	80					41						
04/01/2018	04			12,4	81					36						
04/01/2018	05			12,7	81					32						
04/01/2018	06			12,5	81					30						
04/01/2018	07			11,7	84					25						
04/01/2018	08			12,4	81					14						
04/01/2018	09			14,5	74					26						
04/01/2018	10			17,2	64					41						
04/01/2018	11			19,4	56					42						
04/01/2018	12			21,4	50					50						
04/01/2018	13			22,3	46					54						
04/01/2018	14			21,8	47					55						
04/01/2018	15			20,8	51					54						
04/01/2018	16			20,1	52					54						
04/01/2018	17			18,3	58					45						
04/01/2018	18			16,7	63					39						
04/01/2018	19			15,1	69					38						
04/01/2018	20			15,8	65					44						
04/01/2018	21			14,5	70					43						
04/01/2018	22			14,1	70					47						
04/01/2018	23			14,2	67					53						
05/01/2018	00			13	71					49						
05/01/2018	01			12,8	71					42						
05/01/2018	02			12,3	71					48						
05/01/2018	03			12,2	71					50						
05/01/2018	04			11,9	71					46						
05/01/2018	05			11,2	73					46						
05/01/2018	06			11	73					40						
05/01/2018	07			11,1	73					40						
05/01/2018	08			11,6	71					31						
05/01/2018	09			13,2	64					46						
05/01/2018	10			15,7	55					55						
05/01/2018	11			17,5	47					62						
05/01/2018	12			18,8	43					65						
05/01/2018	13			19,5	41					65						
05/01/2018	14			19,4	40					64						
05/01/2018	15			19	40					65						
05/01/2018	16			18,1	45					63						
05/01/2018	17			16,8	47					64						
05/01/2018	18			15,2	51					64						
05/01/2018	19			12,4	60					46						
05/01/2018	20			11,7	64					45						
05/01/2018	21			10,6	68					43						
05/01/2018	22			9,6	70					39						
05/01/2018	23			8,6	73					29						
06/01/2018	00			8,4	74					37						
06/01/2018	01			6,7	79					34						
06/01/2018	02			4,9	85					15						
06/01/2018	03			4,3	89					14						
06/01/2018	04			4,9	86					24						
06/01/2018	05			4,6	87					10						
06/01/2018	06			4,3	89					3						
06/01/2018	07			4,6	88					5						
06/01/2018	08			4,2	90					5						
06/01/2018	09			5,5	85					10						
06/01/2018	10			7,9	76					26						
06/01/2018	11			11,3	65					36						
06/01/2018	12			14,4	62					54						
06/01/2018	13			14,2	64					57						
06/01/2018	14			14,3	66					52						
06/01/2018	15			14,8	66					54						
06/01/2018	16			14,9	68					53						
06/01/2018	17			13,6	78					53						
06/01/2018	18			11,9	96					30						
06/01/2018	19			10,4	98					25						
06/01/2018	20			10,2	89					49						
06/01/2018	21			8,6	86					55						
06/01/2018	22			7,5	85					56						
06/01/2018	23			7,8	80					60						
07/01/2018	00			8	74					66						
07/01/2018	01			7,6	73					66						
07/01/2018	02			6,6	76					61						
07/01/2018	03			6,2	77					62						
07/01/2018	04			5,4	80					53						
07/01/2018	05			4,7	84					43						
07/01/2018	06			5,4	80					57						
07/01/2018	07			6	80					58						
07/01/2018	08			5,2	81					52						
07/01/2018	09			6	81					41						
07/01/2018	10			9	69					54						
07/01/2018	11			11,4	60					60						
07/01/2018	12			13,2	47					78						
07/01/2018	13			14,9	42					81						
07/01/2018	14			16,5	38					83						
07/01/2018	15			16,8	42					80						
07/01/2018	16			13,1	56					80						
07/01/2018	17			10,9	67					77						
07/01/2018	18			9,8	72					73						
07/01/2018	19			8,9	76					61						
07/01/2018	20			8,4	78					49						
07/01/2018	21			7,8	81					32						
07/01/2018	22			6,2	85					28						
07/01/2018	23			5,3	88					17						
08/01/2018	00			4,9	89					19						
08/01/2018	01			4,8	89					18						
08/01/2018	02			4,4	89					17						
08/01/2018	03			3,4	91					14						
08/01/2018	04			2,8	94					13						
08/01/2018	05			2,9	92					11						
08/01/2018	06			1,4	96					3						
08/01/2018	07			1,3	97					5						
08/01/2018	08			1	97					3						
08/01/2018	09			2,5	95					4						
08/01/2018	10			5,8	83					8						
08/01/2018	11			10,9	67					34						
08/01/2018	12			12,8	63					58						
08/01/2018	13			15	54					76						
08/01/2018	14			17	44					83						
08/01/2018	15			16,6	44					86						
08/01/2018	16			15,2	48					88						
08/01/2018	17			12,8	63					73						
08/01/2018	18			9,7	79					51						
08/01/2018	19			7,9	86					33						
08/01/2018	20			6,5	90					25						
08/01/2018	21			6	91					28						
08/01/2018	22			5	90					10						
08/01/2018	23			3,7	95					2						
09/01/2018	00			3,4	95					6						
09/01/2018	01			2,2	95					4						
09/01/2018	02			1,6	96					7						
09/01/2018	03			0,9	96					3						
09/01/2018	04			1	97					4						
09/01/2018	05			0,8	95					8						
09/01/2018	06			2,6	88					19						
09/01/2018	07			2,9	84					37						
09/01/2018	08			2,5	85					23						
09/01/2018	09			3,4	86					5						
09/01/2018	10			8,8	66					35						
09/01/2018	11			12,3	51					62						
09/01/2018	12			13,6	44					71						
09/01/2018	13			14	42					75						
09/01/2018	14			14,1	43					82						
09/01/2018	15			14,4	44					75						
09/01/2018	16			14	44					76						
09/01/2018	17			12,4	49					69						
09/01/2018	18			10,1	58					32						
09/01/2018	19			8,9	64					25						
09/01/2018	20			8,8	66					20						
09/01/2018	21			8,3	69					10						
09/01/2018	22			8,1	71					21						
09/01/2018	23			8	72					26						
10/01/2018	00			7,8	81					29						
10/01/2018	01			6,8	93					10						
10/01/2018	02			7,1	93					19						
10/01/2018	03			6,9	97					9						
10/01/2018	04			7	97					9						
10/01/2018	05			7,1	97					5						
10/01/2018	06			7,6	96					19						
10/01/2018	07			8,5	92					35						
10/01/2018	08			8	93					9						
10/01/2018	09			8,9	94					8						
10/01/2018	10			12	77					32						
10/01/2018	11			14,5	68					51						
10/01/2018	12			14,6	64					57						
10/01/2018	13			15	60					61						
10/01/2018	14			16	54					67						
10/01/2018	15			15,1	55					68						
10/01/2018	16			15,5	51					75						
10/01/2018	17			14,9	51					76						
10/01/2018	18			14	53					71						
10/01/2018	19			13,7	53					70						
10/01/2018	20			12,6	60					67						
10/01/2018	21			12,5	62					59						
10/01/2018	22			13,2	62					67						
10/01/2018	23			13,1	64					73						
11/01/2018	00			12,3	61					75						
11/01/2018	01			11,9	57					84						
11/01/2018	02			10,8	56					81						
11/01/2018	03			10,6	50					91						
11/01/2018	04			10,2	49					93						
11/01/2018	05			10	51					86						
11/01/2018	06			8,5	58					77						
11/01/2018	07			9,6	57					80						
11/01/2018	08			9,1	60					73						
11/01/2018	09			10	57					62						
11/01/2018	10			11,6	52					78						
11/01/2018	11			12,3	50					85						
11/01/2018	12			12,9	46											
11/01/2018	13			13,5	43											
11/01/2018	14			13,4	42					88						
11/01/2018	15			13,9	39					87						
11/01/2018	16			13,5	38					87						
11/01/2018	17			12,9	39					84						
11/01/2018	18			11,8	45					78						
11/01/2018	19			11,2	49					78						
11/01/2018	20			11,2	46					84						
11/01/2018	21			10,7	47					83						
11/01/2018	22			10,1	50					74						
11/01/2018	23			9,7	50					73						
12/01/2018	00			9,7	49					76						
12/01/2018	01			9,6	49					77						
12/01/2018	02			9,7	48					81						
12/01/2018	03			9,7	49					73						
12/01/2018	04			8,7	53					72						
12/01/2018	05			6,6	61					64						
12/01/2018	06			5,1	68					48						
12/01/2018	07			3,8	73					45						
12/01/2018	08			3	77					11						
12/01/2018	09			5,5	69					14						
12/01/2018	10			9,3	56					44						
12/01/2018	11			13,2	44					58						
12/01/2018	12			15,2	37					71						
12/01/2018	13			16,6	32					81						
12/01/2018	14			17	32					80						
12/01/2018	15			17	34					78						
12/01/2018	16			16,2	34					77						
12/01/2018	17			14,2	40					65						
12/01/2018	18			12,2	47					45						
12/01/2018	19			9,3	56					42						
12/01/2018	20			8,2	60					45						
12/01/2018	21			7,6	63					47						
12/01/2018	22			6,2	69					43						
12/01/2018	23			5,9	71					33						
13/01/2018	00			5,8	72					30						
13/01/2018	01			4,1	82					2						
13/01/2018	02			4,8	78					12						
13/01/2018	03			3,3	86					7						
13/01/2018	04			3,5	83					8						
13/01/2018	05			2,2	89					3						
13/01/2018	06			2,3	89					5						
13/01/2018	07			2	89					2						
13/01/2018	08			1,8	90					2						
13/01/2018	09			3,2	87					2						
13/01/2018	10			5,9	76					9						
13/01/2018	11			8,4	62					36						
13/01/2018	12			12,3	47					56						
13/01/2018	13			14,2	41					72						
13/01/2018	14			13,2	44					72						
13/01/2018	15			13,4	44					73						
13/01/2018	16			14,8	42					77						
13/01/2018	17			13,3	46					71						
13/01/2018	18			11,2	55					61						
13/01/2018	19			11,1	61					62						
13/01/2018	20			11,2	65					61						
13/01/2018	21			10,8	67					57						
13/01/2018	22			9,3	72					58						
13/01/2018	23			8,3	74					58						
14/01/2018	00			9,4	67					66						
14/01/2018	01			11,3	60					76						
14/01/2018	02			10,8	62					70						
14/01/2018	03			9,9	63					70						
14/01/2018	04			9,2	64					70						
14/01/2018	05			8,6	66					68						
14/01/2018	06			8	67					69						
14/01/2018	07			8,6	64					79						
14/01/2018	08			8	67					71						
14/01/2018	09			9,3	65					67						
14/01/2018	10			10,7	61					68						
14/01/2018	11			11,3	58					76						
14/01/2018	12			12,3	54					81						
14/01/2018	13			12,6	52					82						
14/01/2018	14			14,2	46					86						
14/01/2018	15			14	46					85						
14/01/2018	16			12,7	52					79						
14/01/2018	17			11,8	56					72						
14/01/2018	18			10,1	61					58						
14/01/2018	19			8,6	68					47						
14/01/2018	20			8,7	67					48						
14/01/2018	21			7,3	73					38						
14/01/2018	22			7,1	74					17						
14/01/2018	23			6,3	78					11						
15/01/2018	00			6,3	78					14						
15/01/2018	01			6,4	77					16						
15/01/2018	02			6	80					12						
15/01/2018	03			6	80					11						
15/01/2018	04			6	82					11						
15/01/2018	05			5,7	81					12						
15/01/2018	06			5,4	83					4						
15/01/2018	07			5,1	83					7						
15/01/2018	08			4,4	86					4						
15/01/2018	09			6,7	79					17						
15/01/2018	10			8,3	75					11						
15/01/2018	11			12	61					32						
15/01/2018	12			13,3	52					60						
15/01/2018	13			15,2	46					76						
15/01/2018	14			16,2	42					83						
15/01/2018	15			16,2	42					88						
15/01/2018	16			15,3	45					86						
15/01/2018	17			14,3	48					81						
15/01/2018	18			11,4	58					67						
15/01/2018	19			9,3	66					27						
15/01/2018	20			8,5	67					32						
15/01/2018	21			8,7	63					41						
15/01/2018	22			8,1	64					49						
15/01/2018	23			6,9	68					51						
16/01/2018	00			7,4	68					48						
16/01/2018	01			7,6	67					56						
16/01/2018	02			7,4	67					53						
16/01/2018	03			6,7	68					57						
16/01/2018	04			7,2	67					56						
16/01/2018	05			7,2	66					56						
16/01/2018	06			7,3	66					50						
16/01/2018	07			7,2	67					37						
16/01/2018	08			7,2	67					29						
16/01/2018	09			9,8	60					37						
16/01/2018	10			13,4	47					68						
16/01/2018	11			16,4	39					74						
16/01/2018	12			18,5	37					75						
16/01/2018	13			20,5	37					73						
16/01/2018	14			21,7	35					75						
16/01/2018	15			21,8	36					79						
16/01/2018	16			20,5	40					70						
16/01/2018	17			18,9	44					73						
16/01/2018	18			16,6	52					56						
16/01/2018	19			15,2	58					41						
16/01/2018	20			14,5	61					54						
16/01/2018	21			13,6	64					48						
16/01/2018	22			12,1	68					49						
16/01/2018	23			11,8	67					48						
17/01/2018	00			11,8	66					52						
17/01/2018	01			11,7	66					54						
17/01/2018	02			10,9	68					51						
17/01/2018	03			10	70					49						
17/01/2018	04			9,8	72					47						
17/01/2018	05			10,4	70					45						
17/01/2018	06			10,6	71					44						
17/01/2018	07			10,7	69					36						
17/01/2018	08			9,7	71					20						
17/01/2018	09			11,5	66					32						
17/01/2018	10			14,8	55					47						
17/01/2018	11			18,1	45					54						
17/01/2018	12			19,3	40					62						
17/01/2018	13			20,2	36					64						
17/01/2018	14			20,5	35					74						
17/01/2018	15			21,4	34					73						
17/01/2018	16			20,7	33					77						
17/01/2018	17			19,9	36					65						
17/01/2018	18			16,1	47					39						
17/01/2018	19			13,2	56					32						
17/01/2018	20			11,3	62					13						
17/01/2018	21			10,2	66					23						
17/01/2018	22			9	70					4						
17/01/2018	23			8,1	73					5						
18/01/2018	00			7,3	75					3						
18/01/2018	01			5,9	80					2						
18/01/2018	02			5,9	81					16						
18/01/2018	03			5,9	82					15						
18/01/2018	04			4,4	86					13						
18/01/2018	05			4,6	88					13						
18/01/2018	06			2,9	91					2						
18/01/2018	07			3,2	92					3						
18/01/2018	08			2,8	93					2						
18/01/2018	09			4,3	88					2						
18/01/2018	10			7,9	76					16						
18/01/2018	11			12,8	62					38						
18/01/2018	12			16	57					66						
18/01/2018	13			18,4	51					78						
18/01/2018	14			18,9	48					81						
18/01/2018	15			19,7	47					93						
18/01/2018	16			18,6	52					95						
18/01/2018	17			15,4	65					87						
18/01/2018	18			12,5	76					73						
18/01/2018	19			11,3	81					53						
18/01/2018	20			9,5	83					36						
18/01/2018	21			8,8	86					22						
18/01/2018	22			8,5	87					5						
18/01/2018	23			7,3	90					12						
19/01/2018	00			6,8	91					3						
19/01/2018	01			6,6	92					8						
19/01/2018	02			6,8	92					7						
19/01/2018	03			6,5	92					3						
19/01/2018	04			5,5	94					2						
19/01/2018	05			5,6	94					2						
19/01/2018	06			5,1	94					2						
19/01/2018	07			4,7	95					2						
19/01/2018	08			5,2	94					2						
19/01/2018	09			6,3	92					2						
19/01/2018	12			14,8	58					53						
19/01/2018	13			16,7	51					57						
19/01/2018	14			17,9	45					75						
19/01/2018	15			17,8	44					82						
19/01/2018	16			17,2	45					72						
19/01/2018	17			17,3	45					70						
19/01/2018	18			14,6	53					63						
19/01/2018	19			11,9	60					38						
19/01/2018	20			10,4	63					29						
19/01/2018	21			8,4	74					8						
19/01/2018	22			8,8	70					9						
19/01/2018	23			5,8	81					2						
20/01/2018	00			5,4	83					2						
20/01/2018	01			5,2	82					2						
20/01/2018	02			3,7	88					2						
20/01/2018	03			4,1	86					5						
20/01/2018	04			3,3	90					10						
20/01/2018	05			2,8	90					5						
20/01/2018	06			2	91					2						
20/01/2018	07			2,3	91					5						
20/01/2018	08			2	92					4						
20/01/2018	09			4,8	84					4						
20/01/2018	10			9,2	69					21						
20/01/2018	11			15,5	47					51						
20/01/2018	12			18,4	34					69						
20/01/2018	13			19,5	31					78						
20/01/2018	14			20,1	30					81						
20/01/2018	15			20,6	29					86						
20/01/2018	16			20,4	28					89						
20/01/2018	17			19,5	28					89						
20/01/2018	18			16,8	33					76						
20/01/2018	19			15,2	37					72						
20/01/2018	20			14,9	39					72						
20/01/2018	21			14,7	39					72						
20/01/2018	22			13,7	41					67						
20/01/2018	23			14,7	41					74						
21/01/2018	00			13,4	44					69						
21/01/2018	01			13,4	46					65						
21/01/2018	02			12,7	51					63						
21/01/2018	03			12,6	53					62						
21/01/2018	04			11,9	56					59						
21/01/2018	05			11,2	59					56						
21/01/2018	06			10,9	62					52						
21/01/2018	07			10,3	65					48						
21/01/2018	08			10,2	67					43						
21/01/2018	09			12,8	61					48						
21/01/2018	10			17,4	48					59						
21/01/2018	11			19,6	43					67						
21/01/2018	12			21,1	39					69						
21/01/2018	13			22,3	36					70						
21/01/2018	14			23,1	34					74						
21/01/2018	15			23,8	34					74						
21/01/2018	16			23,5	35					71						
21/01/2018	17			22,4	38					64						
21/01/2018	18			19,6	46					50						
21/01/2018	19			17,3	53					44						
21/01/2018	20			16,5	56					44						
21/01/2018	21			15,4	60					42						
21/01/2018	22			14,3	63					39						
21/01/2018	23			13,8	65					34						
22/01/2018	00			12,6	69					34						
22/01/2018	01			12,4	70					37						
22/01/2018	02			12,5	69					36						
22/01/2018	03			11,3	73					35						
22/01/2018	04			11,5	72					37						
22/01/2018	05			11,6	72					41						
22/01/2018	06			9,9	77					33						
22/01/2018	07			7,4	84					3						
22/01/2018	08			7	87					4						
22/01/2018	09			11,6	73					11						
22/01/2018	10			15,7	56					32						
22/01/2018	11			20,6	42					49						
22/01/2018	12			23,1	35					63						
22/01/2018	13			24,8	31					61						
22/01/2018	14			25,5	27					73						
22/01/2018	15			25,7	26					74						
22/01/2018	16			24,8	27					75						
22/01/2018	17			23,5	30					64						
22/01/2018	18			20,7	37					41						
22/01/2018	19			17,2	45					34						
22/01/2018	20			15,9	45					31						
22/01/2018	21			13,9	51					29						
22/01/2018	22			11,9	58					14						
22/01/2018	23			10,8	62					11						
23/01/2018	00			9,2	68					5						
23/01/2018	01			7,4	74					4						
23/01/2018	02			7	76					5						
23/01/2018	03			7,1	75					6						
23/01/2018	04			5,5	81					2						
23/01/2018	05			5	83					4						
23/01/2018	06			5,3	82					3						
23/01/2018	07			3,6	87					2						
23/01/2018	08			3,9	88					2						
23/01/2018	09			6,7	80					3						
23/01/2018	10			10,1	68					8						
23/01/2018	11			16,1	49					29						
23/01/2018	12			20	37					46						
23/01/2018	13			21,7	32					64						
23/01/2018	14			22,4	31					71						
23/01/2018	15			23,1	32					73						
23/01/2018	16			21,4	42					70						
23/01/2018	17			18,5	54					68						
23/01/2018	18			16,2	60					65						
23/01/2018	19			13,8	67					30						
23/01/2018	20			12,4	75					27						
23/01/2018	21			11,6	77					14						
23/01/2018	22			9,6	83					12						
23/01/2018	23			8,6	86					10						
24/01/2018	00			7,3	89					2						
24/01/2018	01			6,8	90					3						
24/01/2018	02			6,5	92					3						
24/01/2018	03			5	94					2						
24/01/2018	04			4,3	96					2						
24/01/2018	05			4,1	96					2						
24/01/2018	06			3,3	97					2						
24/01/2018	07			2,8	98					2						
24/01/2018	08			2,7	99					2						
24/01/2018	09			5	96					3						
24/01/2018	10			8,8	81					2						
24/01/2018	11			13,8	63					17						
24/01/2018	12			18,3	51					44						
24/01/2018	13			20,9	43					71						
24/01/2018	14			21,5	41					81						
24/01/2018	15			22,9	42					75						
24/01/2018	16			21	49					73						
24/01/2018	17			18	63					60						
24/01/2018	18			15,2	75					36						
24/01/2018	19			13,2	82					11						
24/01/2018	20			11,3	91					15						
24/01/2018	21			9,9	94					7						
24/01/2018	22			9,1	96					7						
24/01/2018	23			9,3	98					5						
25/01/2018	00			8,8	99					2						
25/01/2018	01			7,9						2						
25/01/2018	02			7,9						2						
25/01/2018	03			7,4						2						
25/01/2018	04			6,6						2						
25/01/2018	05			5,9						2						
25/01/2018	06			5,4						2						
25/01/2018	07			4,6						2						
25/01/2018	08			3,8						2						
25/01/2018	09			4,2						2						
25/01/2018	10			5,9						3						
25/01/2018	11			9,6	93					4						
25/01/2018	12			13,9	70					16						
25/01/2018	13			18,8	50					52						
25/01/2018	14			20,6	42					65						
25/01/2018	15			21,4	40					72						
25/01/2018	16			19,4	48					66						
25/01/2018	17			18,2	53					67						
25/01/2018	18			14,7	71					45						
25/01/2018	19			13,3	73					12						
25/01/2018	20			12,8	70					26						
25/01/2018	21			11,4	72					24						
25/01/2018	22			11,5	65					43						
25/01/2018	23			11,6	67					43						
26/01/2018	00			11,2	71					35						
26/01/2018	01			12	70					44						
26/01/2018	02			12,1	67					61						
26/01/2018	03			11,7	68					64						
26/01/2018	04			11,3	65					65						
26/01/2018	05			10,4	62					69						
26/01/2018	06			8,8	65					62						
26/01/2018	07			8,2	68					64						
26/01/2018	08			8,9	65					58						
26/01/2018	09			9,8	59					73						
26/01/2018	10			9,7	61					76						
26/01/2018	11			9,9	62					75						
26/01/2018	12			9,1	68					72						
26/01/2018	13			8,8	74					66						
26/01/2018	14			10	79					65						
26/01/2018	15			12,7	66					67						
26/01/2018	16			12,5	51					69						
26/01/2018	17			12,8	42					73						
26/01/2018	18			12,5	44					68						
26/01/2018	19			11,8	50					62						
26/01/2018	20			11,6	48					65						
26/01/2018	21			11,5	47					73						
26/01/2018	22			10,9	52					72						
26/01/2018	23			10,6	53					72						
27/01/2018	00			10,3	55					68						
27/01/2018	01			10,1	55					66						
27/01/2018	02			9,9	54					71						
27/01/2018	03			9,7	53					75						
27/01/2018	04			9	55					74						
27/01/2018	05			7,1	67					57						
27/01/2018	06			6,4	71					50						
27/01/2018	07			6	71					47						
27/01/2018	08			6	72					30						
27/01/2018	09			8,4	65					32						
27/01/2018	10			9,8	56					49						
27/01/2018	11			11,6	46					67						
27/01/2018	12			12,4	42					76						
27/01/2018	13			13,3	36					81						
27/01/2018	14			14	36					83						
27/01/2018	15			13,4	40					87						
27/01/2018	16			12,7	48					85						
27/01/2018	17			11,7	56					85						
27/01/2018	18			11,1	57					85						
27/01/2018	19			11,4	56					85						
27/01/2018	20			11,2	62					83						
27/01/2018	21			9,7	77					75						
27/01/2018	22			8,8	89					67						
27/01/2018	23			8,5	95					53						
28/01/2018	00			8	98					50						
28/01/2018	01			9,9						55						
28/01/2018	02			10,8	95					48						
28/01/2018	03			11,9	88					45						
28/01/2018	04			11,7	89					41						
28/01/2018	05			11,7	92					49						
28/01/2018	06			11,4	93					55						
28/01/2018	08			9,6						63						
28/01/2018	09			10,2	98					54						
28/01/2018	10			12,4												
28/01/2018	11			14,4	83											
28/01/2018	12			15,5	75					52						
28/01/2018	13			15,8	75					61						
28/01/2018	14			16,4	74					66						
28/01/2018	15			14,5	85					66						
28/01/2018	16			13,5	95					62						
28/01/2018	17			13,1	96					63						
28/01/2018	18			13,1	92					67						
28/01/2018	19			13,3	90					58						
28/01/2018	20			13,3	89					47						
28/01/2018	21			13	90					50						
28/01/2018	22			12,7	91					49						
28/01/2018	23			12,6	92					49						
29/01/2018	00			12,5	92					59						
29/01/2018	01			12,2	93					57						
29/01/2018	02			11,9	93					53						
29/01/2018	03			11,1	95					43						
29/01/2018	04			10,9	96					44						
29/01/2018	05			9,7	98					31						
29/01/2018	06			9,7	98					27						
29/01/2018	07			9,9	96					22						
29/01/2018	08			9,6	94					17						
29/01/2018	09			10,5	90					21						
29/01/2018	10			11,4	87					24						
29/01/2018	11			12,6	79					44						
29/01/2018	12			14,2	74					58						
29/01/2018	13			15,7	67					57						
29/01/2018	14			15,5	67					64						
29/01/2018	15			16,1	63					66						
29/01/2018	16			16,7	64					70						
29/01/2018	17			15	71					70						
29/01/2018	18			12,2	83					58						
29/01/2018	19			10,5	90					33						
29/01/2018	20			9,3	94					19						
29/01/2018	21			8,6	96					16						
29/01/2018	22			7,8	97					6						
29/01/2018	23			6,8	98					2						
30/01/2018	00			6,4	98					2						
30/01/2018	01			5,4	99					2						
30/01/2018	02			4,9	99					2						
30/01/2018	03			4,2	100					2						
30/01/2018	04			4,3	100					2						
30/01/2018	05			3,7						2						
30/01/2018	06			3,3						2						
30/01/2018	07			3						2						
30/01/2018	08			2,7						2						
30/01/2018	09			3,3						2						
30/01/2018	10			5,1						3						
30/01/2018	11			7,2	97					4						
30/01/2018	12			11,6	79					34						
30/01/2018	13			15,8	64					67						
30/01/2018	14			17,8	51					74						
30/01/2018	15			17,8	54					78						
30/01/2018	16			17,1	61					78						
30/01/2018	17			14,2	74					76						
30/01/2018	18			11,7	85					63						
30/01/2018	19			10,3	89					51						
30/01/2018	20			10	93					45						
30/01/2018	21			9,3	95					23						
30/01/2018	22			8,7	97					27						
30/01/2018	23			8	96					23						
31/01/2018	00			8,1	96					20						
31/01/2018	01			7,9	97					6						
31/01/2018	02			8,4	97					8						
31/01/2018	03			8,1	96					14						
31/01/2018	04			6,9	98					12						
31/01/2018	05			7,1	99					10						
31/01/2018	06			7	100					4						
31/01/2018	07			7,3	100					6						
31/01/2018	08			7,2	100					2						
31/01/2018	09			7,1						9						
31/01/2018	10			8,4	100					15						
31/01/2018	11			11,6	87					36						
31/01/2018	12			15	64					64						
31/01/2018	13			16,3	54					76						
31/01/2018	14			17,6	51					86						
31/01/2018	15			18,4	48					90						
31/01/2018	16			17,1	63					84						
31/01/2018	17			13,7	75					82						
31/01/2018	18			11,7	84					75						
31/01/2018	19			10,5	89					50						
31/01/2018	20			9,8	92					28						
31/01/2018	21			9	94					15						
31/01/2018	22			8,8	95					20						
31/01/2018	23			8,2	96					7						
01/02/2018	00			7,8	98					11						
01/02/2018	01			7,7	99					9						
01/02/2018	02			7,2	98					5						
01/02/2018	03			6,6	98					5						
01/02/2018	04			6,6	99					7						
01/02/2018	05			6,7	97					8						
01/02/2018	06			5,8	99					2						
01/02/2018	07			6,2	98					2						
01/02/2018	08			6,2	97					5						
01/02/2018	09			8,4	89					13						
01/02/2018	10			12,8	68					32						
01/02/2018	11			15,7	52					44						
01/02/2018	12			17,2	45					56						
01/02/2018	13			16,6	47					63						
01/02/2018	14			16,2	48					68						
01/02/2018	15			15,6	49					63						
01/02/2018	16			14,7	55					55						
01/02/2018	17			14,2	59					48						
01/02/2018	18			13,5	60					51						
01/02/2018	19			12,6	64					52						
01/02/2018	20			9,5	88					55						
01/02/2018	21			8,8	98					57						
01/02/2018	22			8,2						58						
01/02/2018	23			7,4						58						
02/02/2018	00			6,7	98					56						
02/02/2018	01			6,4	98					51						
02/02/2018	02			6,1	97					58						
02/02/2018	03			6	97					53						
02/02/2018	04			5,9	98					43						
02/02/2018	05			5,6	98					48						
02/02/2018	06			5,8	97					50						
02/02/2018	07			5,8	95					25						
02/02/2018	08			6,1	89					16						
02/02/2018	09			4,9	89					48						
02/02/2018	10			4,3	92					67						
02/02/2018	11			4,4	96					46						
02/02/2018	12			4,4	96					38						
02/02/2018	13			5,6	91					36						
